sample_index,sample_id,CH4,CO,T,U_1,p
4180,trajectory_000000:4180,0.06445872038602829,0.20455574989318848,0.06417761743068695,0.24705447256565094,0.005654795095324516
4220,trajectory_000000:4220,0.06805064529180527,0.1953132301568985,0.06396066397428513,0.2280937135219574,0.0065895612351596355
4260,trajectory_000000:4260,0.07070811092853546,0.18006595969200134,0.05667902156710625,0.23302921652793884,0.0057544829323887825
4300,trajectory_000000:4300,0.06009920686483383,0.1953408420085907,0.05491781234741211,0.17885088920593262,0.005745177622884512
4341,trajectory_000000:4341,0.06344633549451828,0.2169705182313919,0.06603341549634933,0.20427827537059784,0.006147958803921938
4381,trajectory_000000:4381,0.08268935233354568,0.25098276138305664,0.08206997066736221,0.2908763289451599,0.006688117980957031
4421,trajectory_000000:4421,0.07126681506633759,0.21131455898284912,0.06364576518535614,0.20557363331317902,0.0048163775354623795
4461,trajectory_000000:4461,0.06129364296793938,0.19740615785121918,0.06202840805053711,0.254309743642807,0.006022504065185785
4501,trajectory_000000:4501,0.06165900081396103,0.1885136216878891,0.05977910757064819,0.20185385644435883,0.005387881305068731
4542,trajectory_000000:4542,0.05944767966866493,0.16902750730514526,0.0538456104695797,0.20766961574554443,0.006042015738785267
4582,trajectory_000000:4582,0.07620926946401596,0.20954200625419617,0.07246694713830948,0.2292236089706421,0.006345430854707956
4622,trajectory_000000:4622,0.06847761571407318,0.18923509120941162,0.06349330395460129,0.22234444320201874,0.006345935631543398
4662,trajectory_000000:4662,0.04658306762576103,0.13738352060317993,0.04341158643364906,0.19242078065872192,0.005618415307253599
4702,trajectory_000000:4702,0.06810905784368515,0.2165379375219345,0.07007507979869843,0.23970746994018555,0.005384202115237713
4743,trajectory_000000:4743,0.06555075943470001,0.19629620015621185,0.06356442719697952,0.2638520300388336,0.005540474317967892
4783,trajectory_000000:4783,0.06321647018194199,0.17017324268817902,0.05618775635957718,0.19117474555969238,0.006185557693243027
4823,trajectory_000000:4823,0.06530489027500153,0.17848268151283264,0.05632489547133446,0.20573163032531738,0.006117948330938816
4863,trajectory_000000:4863,0.06241869926452637,0.2000175565481186,0.06399168074131012,0.20620383322238922,0.005503218621015549
4903,trajectory_000000:4903,0.05824599042534828,0.17433466017246246,0.059943102300167084,0.21050861477851868,0.00524214468896389
4944,trajectory_000000:4944,0.05675725266337395,0.1597372591495514,0.05287875235080719,0.19078251719474792,0.0061690728180110455
4984,trajectory_000000:4984,0.04738013818860054,0.14202329516410828,0.044465817511081696,0.20036780834197998,0.005338000599294901
5024,trajectory_000000:5024,0.04645745828747749,0.17714977264404297,0.053755030035972595,0.18299248814582825,0.004887829069048166
5064,trajectory_000000:5064,0.05769001320004463,0.20068961381912231,0.06252608448266983,0.19389575719833374,0.005819676909595728
5104,trajectory_000000:5104,0.08081936836242676,0.26328518986701965,0.08319444954395294,0.29311537742614746,0.007761732675135136
5145,trajectory_000000:5145,0.08686505258083344,0.24034057557582855,0.07782784849405289,0.2525547742843628,0.008831018581986427
5185,trajectory_000000:5185,0.08131390810012817,0.1963876485824585,0.06179239600896835,0.21913306415081024,0.0061521646566689014
5225,trajectory_000000:5225,0.06678199023008347,0.20665796101093292,0.06501790136098862,0.24047797918319702,0.00573599012568593
5265,trajectory_000000:5265,0.06783415377140045,0.22150811553001404,0.07594151794910431,0.2829866111278534,0.00616113655269146
5305,trajectory_000000:5305,0.06651516258716583,0.20262613892555237,0.06067002937197685,0.20811180770397186,0.005684712901711464
5346,trajectory_000000:5346,0.06764089316129684,0.17005349695682526,0.05503391847014427,0.2070484310388565,0.005429212935268879
5386,trajectory_000000:5386,0.06720045208930969,0.20684276521205902,0.06988264620304108,0.2258269488811493,0.00594596890732646
5426,trajectory_000000:5426,0.07579921931028366,0.20392735302448273,0.07696013152599335,0.22863301634788513,0.006894994992762804
5466,trajectory_000000:5466,0.0795472115278244,0.22197243571281433,0.06544381380081177,0.2631446421146393,0.0062774368561804295
5506,trajectory_000000:5506,0.0531943142414093,0.167865589261055,0.04939529672265053,0.25319209694862366,0.006920220330357552
5547,trajectory_000000:5547,0.0688619390130043,0.21166124939918518,0.06381130963563919,0.23355500400066376,0.00637986371293664
5587,trajectory_000000:5587,0.06380514055490494,0.19179725646972656,0.06055286154150963,0.20255857706069946,0.005839850753545761
5627,trajectory_000000:5627,0.07967052608728409,0.21184778213500977,0.06900103390216827,0.20061911642551422,0.005923529155552387
5667,trajectory_000000:5667,0.06821873784065247,0.2123013734817505,0.06760498136281967,0.24138103425502777,0.005472792312502861
5707,trajectory_000000:5707,0.06456935405731201,0.19950233399868011,0.059613678604364395,0.20273543894290924,0.00596629036590457
5748,trajectory_000000:5748,0.06385551393032074,0.17460870742797852,0.058677274733781815,0.2389725148677826,0.006824256852269173
5788,trajectory_000000:5788,0.07968669384717941,0.2049584835767746,0.0716809406876564,0.2376093566417694,0.0057285926304757595
5828,trajectory_000000:5828,0.04983959347009659,0.14499400556087494,0.04386375471949577,0.18087846040725708,0.005440205335617065
5868,trajectory_000000:5868,0.05833858251571655,0.19698892533779144,0.059684306383132935,0.19553735852241516,0.004784180782735348
5908,trajectory_000000:5908,0.07526127994060516,0.23262478411197662,0.07737017422914505,0.2455737292766571,0.0063749090768396854
5949,trajectory_000000:5949,0.06270280480384827,0.20394374430179596,0.05541091039776802,0.16350200772285461,0.006079201120883226
5989,trajectory_000000:5989,0.06508328020572662,0.20330007374286652,0.0657883733510971,0.26545965671539307,0.0077393450774252415
6029,trajectory_000000:6029,0.0726160779595375,0.21578331291675568,0.0704200491309166,0.2656421661376953,0.006386641878634691
6069,trajectory_000000:6069,0.06874360889196396,0.20507194101810455,0.064913809299469,0.2324058562517166,0.006235311273485422
6109,trajectory_000000:6109,0.06378313153982162,0.20545324683189392,0.060101937502622604,0.19951948523521423,0.005863973870873451
6149,trajectory_000000:6149,0.07253678143024445,0.19427716732025146,0.0617818720638752,0.2071506530046463,0.006980209145694971
6190,trajectory_000000:6190,0.06730183213949203,0.2186351716518402,0.06066502258181572,0.19831927120685577,0.005864826962351799
6230,trajectory_000000:6230,0.07083787024021149,0.21263301372528076,0.07311709225177765,0.20286621153354645,0.006290477234870195
6270,trajectory_000000:6270,0.0712755098938942,0.21220499277114868,0.06652774661779404,0.2272081822156906,0.007522657047957182
6310,trajectory_000000:6310,0.06599446386098862,0.19541306793689728,0.06006703898310661,0.2003048062324524,0.0057918536476790905
6350,trajectory_000000:6350,0.06273269653320312,0.18614055216312408,0.05987558141350746,0.19754484295845032,0.005563204642385244
6391,trajectory_000000:6391,0.057601891458034515,0.16463212668895721,0.05274340882897377,0.2287631332874298,0.0052216979674994946
6431,trajectory_000000:6431,0.073576919734478,0.2056836187839508,0.06913280487060547,0.20703093707561493,0.00581740215420723
6471,trajectory_000000:6471,0.08437220007181168,0.21641986072063446,0.07296717166900635,0.21521003544330597,0.00561674777418375
6511,trajectory_000000:6511,0.047743454575538635,0.166239932179451,0.051751263439655304,0.19657504558563232,0.005022675730288029
6551,trajectory_000000:6551,0.06266488134860992,0.19752033054828644,0.06947848945856094,0.22348888218402863,0.006305907852947712
6592,trajectory_000000:6592,0.0611114539206028,0.20399577915668488,0.061175569891929626,0.21282699704170227,0.006359321065247059
6632,trajectory_000000:6632,0.05247936397790909,0.16596579551696777,0.05670692026615143,0.2519364655017853,0.007330252788960934
6672,trajectory_000000:6672,0.08359314501285553,0.2564839720726013,0.07021258026361465,0.23153479397296906,0.006486516911536455
6712,trajectory_000000:6712,0.054856546223163605,0.18426920473575592,0.05565939471125603,0.25149455666542053,0.005918214097619057
6752,trajectory_000000:6752,0.07193252444267273,0.21610845625400543,0.06761692464351654,0.21200500428676605,0.006176105234771967
6793,trajectory_000000:6793,0.06262604147195816,0.20043975114822388,0.061541199684143066,0.20241940021514893,0.005498325452208519
6833,trajectory_000000:6833,0.076970174908638,0.19090569019317627,0.06241261214017868,0.1746152639389038,0.006406174972653389
6873,trajectory_000000:6873,0.06411252170801163,0.20822569727897644,0.058398228138685226,0.20930315554141998,0.006029298063367605
6913,trajectory_000000:6913,0.06619584560394287,0.23939070105552673,0.06798578798770905,0.23666346073150635,0.005811967886984348
6953,trajectory_000000:6953,0.08340341597795486,0.2668369710445404,0.08503203094005585,0.25913262367248535,0.007458639331161976
6994,trajectory_000000:6994,0.06896865367889404,0.22863918542861938,0.0677809938788414,0.19561922550201416,0.006720563862472773
7034,trajectory_000000:7034,0.06944894790649414,0.20652087032794952,0.06541116535663605,0.2540091872215271,0.006622215732932091
7074,trajectory_000000:7074,0.06550916284322739,0.1965828835964203,0.06268081068992615,0.22151491045951843,0.008683431893587112
7114,trajectory_000000:7114,0.07075963914394379,0.17470110952854156,0.056924231350421906,0.2423960566520691,0.007222187239676714
7154,trajectory_000000:7154,0.04982246458530426,0.1657116562128067,0.046483226120471954,0.1951795369386673,0.006040251813828945
7195,trajectory_000000:7195,0.06138521432876587,0.19840353727340698,0.06329123675823212,0.204701766371727,0.00592168839648366
7235,trajectory_000000:7235,0.06722303479909897,0.20350410044193268,0.06347247958183289,0.18294517695903778,0.005331851076334715
7275,trajectory_000000:7275,0.07392735034227371,0.1992013156414032,0.061858441680669785,0.18594969809055328,0.005890184547752142
7315,trajectory_000000:7315,0.06434056907892227,0.2181386798620224,0.06422771513462067,0.24129755795001984,0.006084800697863102
7355,trajectory_000000:7355,0.05631890147924423,0.21263235807418823,0.062126561999320984,0.19458234310150146,0.004451026674360037
7396,trajectory_000000:7396,0.07346067577600479,0.21645139157772064,0.07261447608470917,0.23444978892803192,0.006017615552991629
7436,trajectory_000000:7436,0.13385863602161407,0.34175291657447815,0.10960742831230164,0.3930896520614624,0.00814016256481409
7476,trajectory_000000:7476,0.0595274344086647,0.18823637068271637,0.05483778566122055,0.17951886355876923,0.006008639931678772
7516,trajectory_000000:7516,0.06261103600263596,0.1707262545824051,0.05957883223891258,0.21992342174053192,0.0049824644811451435
7556,trajectory_000000:7556,0.06001192331314087,0.20798729360103607,0.06490819156169891,0.2653547525405884,0.006108472123742104
7597,trajectory_000000:7597,0.09028700739145279,0.2245216965675354,0.07418902218341827,0.22102004289627075,0.005532327573746443
7637,trajectory_000000:7637,0.0559614859521389,0.1706697791814804,0.054634638130664825,0.20803800225257874,0.006090364418923855
